Name,Description,Problem definition,Causal attribution,Moral evaluation,Treatment recommendation,Example
Vulnerable Populations Frame,"Emphasizes the disproportionate impact of Mpox on specific groups, such as LGBTQ+ individuals and marginalized communities.",The Mpox outbreak affects vulnerable populations disproportionately.,"Societal attitudes, lack of access to healthcare, and systemic inequalities are attributed to the disparities.",Concern for stigmatizing vulnerable populations and a moral imperative to address health inequities.,"Increased awareness, education, and targeted public health initiatives for marginalized communities.","CDC data show that monkeypox cases are down dramatically in white men, but nearly 70% of cases are now being detected in Black or Latino men."
Risk Mitigation Frame,Focuses on individual behavior change and public education to prevent Mpox transmission.,Individuals need guidance on minimizing risk of Mpox infection.,"Human behavior, social networks, and community factors are attributed to the outbreak.",Concern for protecting individuals from harm and promoting personal responsibility.,"Guidance and recommendations for individuals at risk, public education campaigns, and community engagement.",People who have monkeypox should stay at home until the rash has healed...
Public Health Emergency Frame,Frames Mpox as a serious public health concern requiring emergency response and funding.,The rapid spread of Mpox cases globally causes concern for public health.,"Multiple factors, including viral transmission dynamics and human behavior, are attributed to the outbreak.","Urgency and importance conveyed, with a focus on addressing the crisis.",Vaccination and prevention through behavioral changes are recommended.,The World Health Organization declared Mpox a global health emergency due to its rapid spread.
Stigma Frame,Highlights the fear of retribution and stigma against LGBTQ+ individuals due to Mpox.,Fear of retribution and stigma against LGBTQ+ individuals due to Mpox.,Societal attitudes and lack of understanding are attributed to the stigma.,Moral imperative to address stigma and promote inclusivity.,"Increased education, awareness, and support for marginalized communities.","Noyes fears that because the virus has been linked to men who have sex with men, it could spark retribution against people who identify as LGBTQ+ in Humboldt County."
Vaccine Hesitancy Frame,Focuses on addressing vaccine hesitancy and promoting trust in public health officials.,Limited vaccine uptake among high-risk groups and communities.,Misinformation and mistrust of vaccines are attributed to the hesitancy.,Importance of addressing misinformation and promoting vaccine confidence.,"Efforts to combat misinformation, increase vaccine access, and promote trust in public health officials.",Caulfield said the study is a reminder that public health officials need to adopt a range of responses to address misinformation on social media...
Resource Deficit Frame,Highlights the limited resources and infrastructure hindering public health response in rural areas.,Limited resources and infrastructure hinder public health response in rural areas.,Systemic issues and lack of funding are attributed to the resource deficits.,Moral imperative to address resource inequalities and ensure equitable access to healthcare.,"Increased funding, support for rural healthcare infrastructure, and targeted public health initiatives.","The community health nurse responsible for distributing the vaccine from a state-run clinic in Winnemucca retired months ago, leaving a gap that was only filled with the arrival of a replacement nurse in October."
Crisis Response Frame,Frames Mpox as a crisis requiring immediate attention and response.,Mpox outbreak requires urgent response and action.,"Multiple factors, including viral transmission dynamics and human behavior, are attributed to the outbreak.","Urgency and importance conveyed, with a focus on addressing the crisis.","Emergency funding, public health measures, and vaccination efforts are recommended.",The U.S. is working to contain the largest monkeypox outbreak in the world...
Global Health Cooperation Frame,Highlights the challenges in achieving global cooperation to address infectious disease threats.,Challenges in achieving global cooperation to address Mpox outbreak.,"Systemic issues, lack of funding, and inadequate infrastructure are attributed to the challenges.",Importance of addressing global health inequities and promoting international cooperation.,"Increased funding, support for global health infrastructure, and targeted public health initiatives.",...a small but noticeable proportion of people (2% to 3%) with monkeypox became very unwell...
Neurological Complications Frame,Highlights the uncertainties about neurological complications associated with Mpox infection.,Uncertainties about neurological complications associated with Mpox infection.,"Limited research data, complex interactions between viruses and host systems are attributed to the uncertainties.",Concerns about the impact on public health and safety conveyed.,"Continued research, monitoring, and transparent communication are recommended.",...a small but noticeable proportion of people (2% to 3%) with monkeypox became very unwell...
Government Intervention Frame,Raises concerns about government involvement in personal lives and health decisions.,Concerns about government involvement in personal lives and health decisions.,"Fear, mistrust, and perceived overreach of authority are attributed to the concerns.","Importance of transparency, trustworthiness, and respect for individual autonomy conveyed.","Improved communication, public engagement, and collaborative governance recommended.",'Any herb can clear that up' another man insisted. Wilson also faced a barrage of rejections...
Racial Disparities Frame,"Highlights the disproportionate impact of Mpox on men of color, particularly Black and Latino men.","Disproportionate impact of Mpox on men of color, particularly Black and Latino men.",Systemic racism and lack of access to healthcare are attributed to the disparities.,Moral imperative to address racial health disparities conveyed.,Increased vaccination efforts and targeted public health initiatives for marginalized communities recommended.,"CDC data show that monkeypox cases are down dramatically in white men, but nearly 70% of cases are now being detected in Black or Latino men."
