,sexual stigma and transmission routes,racial disparities and stigmatising name,global relations,public health failure,epidemic preparedness and surveillance,human-interest stories,broader health issues
llama3.1:8b-instruct-q8_0_human_judge.csv,0.694,0.833,0.364,0.654,0.568,0.439,0.557
claude-sonnet-4-20250514_zshot_1to1.csv,0.725,0.917,0.571,0.692,0.639,0.842,0.559
gpt-oss-20b-zshot.csv,0.731,0.87,0.35,0.745,0.595,0.783,0.491
llama3.1:8b-instruct-q8_0_zshot.csv,0.694,0.815,0.34,0.68,0.484,0.364,0.557
llama3.1:8b-instruct-q8_0_zshot_1to1.csv,0.7,0.786,0.345,0.714,0.61,0.4,0.6
llama3.1:8b-instruct-q8_0_ft.csv,0.708,0.923,0.333,0.694,0.484,0.439,0.581
llama3.1:8b-instruct-q8_0_confidence.csv,0.635,0.692,0.323,0.762,0.522,0.4,0.464
claude-sonnet-4-20250514_zshot.csv,0.72,0.96,0.556,0.744,0.566,0.889,0.622
llama3.1:8b-instruct-q8_0_decision_tree.csv,0.597,0.783,0.211,0.528,0.492,0.667,0.548
llama3.1:8b-instruct-q8_0_ft_1to1.csv,0.699,0.759,0.345,0.714,0.667,0.462,0.6
llama3.1:8b-instruct-q8_0_LLM_judge.csv,0.66,0.889,0.267,0.59,0.488,0.419,0.358
