,Name,Problem definition,Causal attribution,Moral evaluation,Treatment recommendation,Example
0,Risk Group Focus,"The Mpox outbreak disproportionately affects specific groups, such as gay and bisexual men.",No specific causal attribution is mentioned; the focus is on risk group awareness.,"None explicitly stated, but implies concern for vulnerable populations.",Prevention measures through awareness and caution among high-risk groups.,"an overwhelming percentage of cases, both statewide and in the U.S. overall, have occurred among persons self-identifying as men who have sex with men"
1,Vulnerable Populations,Specific groups are more vulnerable to Mpox infection and transmission.,No specific causal attribution is mentioned; the focus is on risk group awareness.,Concern for stigmatizing vulnerable populations.,"Prevention measures through awareness, caution, and targeted public health responses among high-risk groups.","The city health department has now expanded eligibility to “all gay, bisexual, and other men who have sex with men (cisgender or transgender) ages 18 and older who have had multiple or anonymous sex partners in the last 14 days.”"
2,Risk Mitigation Advice,Individuals need guidance on minimizing risk of Mpox infection.,No specific causal attribution is mentioned; the focus is on prevention measures.,"Concern for protecting individuals from harm, especially vulnerable populations.","Practice good hand hygiene, limit interactions outside the household, and stay up-to-date with shots (vaccinations).","If you are a queer man, do not panic; this is not even close to being a pandemic yet. We can still enjoy what we have left of Pride month, but it is important to make sure that you are up to date with your shots."
3,Risk Downplaying,Risks associated with specific groups are downplayed or obscured.,"Implicitly blames individuals for their own risk, rather than acknowledging systemic issues.","None explicitly stated; however, it implies a lack of concern for vulnerable populations.",Avoid discussing disparities and instead focus on personal action to prevent harm.,The most important time to be pointing out disparities is when the relevant population is both unaware of them and can take personal action to prevent harm.
4,Risk Framing,Risks are framed in a way that masks or minimizes specific groups' vulnerability.,"Implicitly blames individuals for their own risk, rather than acknowledging systemic issues.","None explicitly stated; however, it implies a lack of concern for vulnerable populations.",Frame risks in a way that emphasizes personal responsibility and downplays systemic issues.,The idea that rich women won’t be impacted by the fall of Roe v. Wade is both untrue and divides the coalition of people needed to combat further restrictions on abortion.
5,Mpox Crisis,Monkeypox outbreak as a public health emergency,Natural virus spread due to human-pathogen interface,Serious concern for global health and well-being,"Public health measures, vaccination, and containment efforts",The U.S. is working to contain the largest monkeypox outbreak in the world...
6,Stigma and Psychological Distress,Social stigma and psychological distress among Mpox patients,Contributing factors such as disfiguring skin rashes and social isolation,Urgent need for support and understanding,"Increased awareness, education, and access to mental health services",It’s also possible that the stigma people experience from monkeypox infection...
7,Vaccine Effectiveness and Availability,Limited vaccine availability and effectiveness in preventing Mpox,"Supply chain issues, distribution challenges, and uncertain efficacy",Concerns about the impact on public health and safety,"Increased investment in vaccine development, distribution, and education","With more vaccines available in the U.S. and in Europe, the initial epicenter of the outbreak..."
8,Global Health Cooperation Challenge,Difficulty achieving global cooperation to address infectious disease threats,"Geopolitics, inequity, lack of communication, and conflicting interests",Urgent need for international collaboration and coordination,"Improved global health governance, diplomacy, and public awareness","Unless we resolve geopolitical issues, then I'm afraid that we won't have sight of what is emerging..."
9,Risk Mitigation and Public Behavior Change,Reducing Mpox cases through individual behavior change,"Human behavior, social networks, and community factors",Importance of personal responsibility and collective action,"Guidance and recommendations for individuals at risk, public education campaigns, and community engagement",People who have monkeypox should stay at home until the rash has healed...
10,Vaccine Efficacy and Unintended Consequences,Uncertainties about vaccine efficacy and potential risks,"Limited research data, complex interactions between vaccines and viruses",Concerns about the impact on public health and safety,"Continued research, monitoring, and transparent communication",Researchers say there's still a lot to be determined about the vaccine's efficacy...
11,Public Health Emergency and Funding,Mpox as a serious public health concern requiring emergency funding,"Need for resources, infrastructure, and personnel to combat the outbreak",Urgent need for investment in public health preparedness and response,"Increased funding, resource allocation, and coordination among stakeholders",...the U.S. has approved a new vaccination strategy to stretch supplies of the Jynneos vaccine...
12,Containment Efforts and Global Cooperation,Challenges in containing Mpox outbreaks through global cooperation,"Inequitable access to resources, ineffective communication, and conflicting interests",Urgent need for international collaboration and coordination,"Improved global health governance, diplomacy, and public awareness",The U.S. is working to contain the largest monkeypox outbreak in the world...
13,Healthcare Disparities and Stigma,Disproportionate impact of Mpox on marginalized communities and individuals,"Social determinants, healthcare access barriers, and stigma","Urgent need for support, understanding, and equity in healthcare services","Increased awareness, education, and access to mental health services, as well as addressing systemic inequalities",...the summer outbreak of the rare virus exposed how infectious diseases often exact a disproportionate toll...
14,Neurological Complications and Uncertainty,Uncertainties about neurological complications associated with Mpox infection,"Limited research data, complex interactions between viruses and host systems",Concerns about the impact on public health and safety,"Continued research, monitoring, and transparent communication",...a small but noticeable proportion of people (2% to 3%) with monkeypox became very unwell...
15,Government Intervention and Public Trust,Concerns about government involvement in personal lives and health decisions,"Fear, mistrust, and perceived overreach of authority","Importance of transparency, trustworthiness, and respect for individual autonomy","Improved communication, public engagement, and collaborative governance",'Any herb can clear that up' another man insisted. Wilson also faced a barrage of rejections...
16,Mpox Outbreak Frame,"The rapid spread of Mpox cases globally, causing concern for public health.","Multiple factors, including viral transmission dynamics and human behavior, are attributed to the outbreak.","None explicitly stated, but a sense of urgency and importance is conveyed.",Vaccination and prevention through behavioral changes are recommended.,The World Health Organization declared Mpox a global health emergency due to its rapid spread.
17,Racial Disparities Frame,"Disproportionate impact of Mpox on men of color, particularly Black and Latino men.",Systemic racism and lack of access to healthcare are attributed to the disparities.,The frame highlights the moral imperative to address racial health disparities.,Increased vaccination efforts and targeted public health initiatives for marginalized communities are recommended.,"CDC data show that monkeypox cases are down dramatically in white men, but nearly 70% of cases are now being detected in Black or Latino men."
