,Index,Name,Description,Example
0,0,Community Transmission,Evidence suggests transmission within local communities.,"UKHSA is rapidly investigating the source of these infections because the evidence suggests that there may be transmission of the monkeypox virus in the community,"
1,1,Rise in Cases,Increase in reported cases of Mpox.,"Seven cases of monkeypox have been confirmed in London and northeastern England, only one of which was linked to travel outside of the country,"
2,2,Gay and Bisexual Community,Mentioned as a specific group affected by Mpox.,"All 4 of these cases self-identify as gay, bisexual or other men who have sex with men."
3,3,New Case Alert,"Identification of new Mpox cases in the US, UK, and Canada.","The Massachusetts Department of Public Health confirmed a case of monkeypox, making it the first detected in the United States this year."
4,4,Transmission Risks,Discussion of how Mpox can be transmitted from animals to humans and between humans.,The CDC said humans can also be infected when hunting wild animals or preparing bush meat for consumption.
5,5,Rare Disease Awareness,Information about the rarity of Mpox cases in the US and its natural occurrence in other countries.,"According to the CDC, the disease does not naturally occur in the U.S. Infections are usually identified among people who recently traveled to countries where monkeypox is more commonly found."
6,6,Low Risk Frame,"Article downplays the severity of Mpox, emphasizing low risk to the public.",Health experts stress the risk to the public remains low and most people don't need to be immediately fearful of contracting the illness.
7,7,Transmission Uncertainty,"Article highlights uncertainty around how Mpox is transmitted, particularly in non-endemic areas.","It transmits through large droplets, which don't travel very far, or through contact with lesions themselves or touching someone with bed linens or clothes or recent contact with lesions,"
8,8,Comparison to COVID-19,"Article draws comparisons between Mpox and COVID-19, emphasizing differences in transmission routes and public health impact.",It's a virus in a very different class from COVID-19... It predominantly lives in animal reservoirs so it sort of by accident gets to humans and it may cause sporadic illness or relatively small outbreaks.
9,9,Mpox Naming Debate,Discussion around renaming monkeypox to mpox due to stigmatization and inaccuracies.,Experts argued that the term 'monkeypox' unnecessarily linked the virus to Africa.
10,10,Transmission Dynamics,"Explanation of how mpox spreads from animals to humans and between people, including routes like skin-to-skin contact and respiratory droplets.",Mpox can spread from animals to humans when people come into contact with the blood or bodily fluids of infected animals.
11,11,Vaccine Eligibility,"Discussion around who is eligible for mpox vaccination, including pre-exposure and post-exposure scenarios.",People are considered fully vaccinated about two weeks after their second shot of JYNNEOS.
12,12,Public Preparedness,Awareness and readiness among the general public regarding infectious diseases.,The COVID-19 pandemic has shone a light on the critical importance of staying ahead of infectious disease threats instead of constantly chasing behind them.
13,13,Virus Containability,"Factors that make monkeypox easier or harder to contain, such as transmission routes and public awareness.","The key to containing monkeypox is identifying it quickly so the isolation, contact-tracing and treatment can begin before the virus spreads too far."
14,14,Comparative Risk,"Comparison of the risk posed by monkeypox to other diseases, such as COVID-19.","That said, in general, we think of monkeypox as much less lethal than smallpox, easier to control in terms of transmission and amenable to vaccines and antivirals."
15,15,Vaccine Availability,Availability of vaccine as a solution to mitigate Mpox outbreak.,Biden was getting updated on the outbreak and told that the U.S. has a supply of vaccine that is relevant to treating monkeypox.
16,16,Risk Perception,Concerns about the potential spread and consequences of Mpox.,It is something that everybody should be concerned about... It is a concern in that if it were to spread it would be consequential.
17,17,Global Response,International efforts to contain and address the Mpox outbreak.,"The World Health Organization has confirmed 80 cases worldwide, including at least two in the United States, and another 50 suspected ones."
18,18,Global Spread,"Concerns about monkeypox spreading globally, including Europe and US.","Biden said it's a concern that if it were to spread, it would be consequential."
19,19,Public Health Risk,Monkeypox is a concern due to its potential impact on public health and international travel-related cases.,"On Sunday, one presumptive case of monkeypox also was being investigated in Broward County..."
20,20,Mpox Outbreak Frames,"Frames used to describe the Mpox outbreak, including its severity, spread, and response.",Experts have expressed concern about monkeypox's spread beyond Africa in recent days.
21,21,Risk Assessment,Statements that assess the risk of Mpox spreading or causing harm to individuals or communities.,I would not be surprised if we see a few more [monkeypox] cases in the upcoming days.
22,22,Government Response,"Discussions of government actions or policies related to the Mpox outbreak, including quarantine measures and tracking efforts.",The administration is 'confident we're going to be able to get our arms around it … but we're going to track it very closely and use the tools we have to make sure that we continue to prevent further spread
23,23,Transmission Routes,Explanation of how Mpox virus can be transmitted from person to person,"Monkeypox can spread through a number of routes, the most common and direct being via breaks in the skin or contact with body fluids."
24,24,Rise in Global Cases,"Increased cases reported worldwide, with a focus on unusual locations.",A tally by Johns Hopkins Center for Health Security put it at 240 confirmed or suspected cases in 15 countries.
25,25,Close Contact Transmission,"Monkeypox spread through close contact, such as touching or sharing fluids.","'What we’re talking about here is close contact,’ said Capt. Jennifer McQuiston, CDC’s deputy director..."
26,26,Vulnerability in LGBTQ Community,Members of the LGBTQ community are at higher risk and should be vigilant.,"That led the CDC officials to specifically say members of the LGBTQ community, and their providers, ought to be especially vigilant..."
27,27,Unusual Geographic Expansion,The article highlights how monkeypox is spreading to new geographic locations without clear links to endemic countries.,clusters not linked to travel
28,28,Waning Immunity,"Scientists suggest that declining immunity against orthopoxviruses, including monkeypox, across the globe may contribute to the outbreak's spread.",Jamie Lloyd-Smith says immunity against this family of viruses has been declining in humans ever since smallpox was eradicated
29,29,Unclear Transmission Routes,The article discusses how scientists are still unsure about the exact ways in which monkeypox is being transmitted from person to person.,Boghuma Titanji warns against speculating on potential transmission routes due to stigma and misinformation
30,30,Emerging Transmission,"The virus is found to be spreading through new and unusual routes, such as sexual contact.","What is even more bizarre is finding cases that appear to have acquired the infection via sexual contact,"
31,31,Public Health Concern,Health officials are worried about the outbreak and its potential impact on public health.,"This [outbreak] is rare and unusual,"
32,32,Contact Tracing,Identifying and tracking individuals who have come into contact with infected people.,More than 200 people in Massachusetts are being tracked for monkeypox after coming in contact with the first confirmed patient in the US.
33,33,Vaccine Priority,"Identifying individuals who should receive priority vaccination, such as those at high risk of severe disease.","'Right now we are hoping to maximize vaccine distribution to those that we know would benefit from it,' Jennifer McQuiston, deputy director of the CDC's division of high consequence pathogens and pathology,"
34,34,Risk Amplification,Highlighting specific groups or activities that are at increased risk of contracting the disease.,"Some cases were reported among men who have sex with men, as well as after sexual activity at raves in Europe."
35,35,Vaccine Effectiveness,Discussion about the duration and level of protection offered by smallpox vaccines.,"Some estimates suggest this may last for decades. ... but I don't know, there may still be some modifying effect"
36,36,Risk Groups,Identification of specific age groups vulnerable to monkeypox due to waning immunity.,people over 50 could be the only group protected against monkeypox.
37,37,Gas Price Criticism,"Criticism of high gas prices as an issue, often framed in opposition to Democratic policies.",But filling your tank will make you more sick than Monkeypox ever will. But I wonder when it comes to gas prices.
38,38,Government Blame-Shifting,"Accusation that the government is shifting blame or downplaying issues, often related to Mpox.","But they sure are great at creating it. And even if they did feel your pain, they'd still think it's good for you."
39,39,Punitive Ideology,"Criticism of a perceived punitive ideology in Democratic policies, often related to gas prices or other issues.",It's a result of their punitive theater. We deserve punishment and not the good kind where there's a safe word involved.
40,40,Risk Emphasis,Health officials emphasize low risk of transmission and spread of monkeypox to the general population. They reassure public that patient does not pose a risk.,"“Transmission requires close contact with someone with symptomatic monkeypox, and this virus has not shown the ability to spread rapidly in the general population,” Greene said."
41,41,Travel Link,Cases are often linked to travel history to endemic areas or countries with active outbreaks. Health officials note unusual events of transmission without direct links.,"Some of the individuals had recently traveled to areas with active monkeypox outbreaks while others had not, according to the CDC."
42,42,Vaccine Accessibility,"Limited availability and prioritization of vaccines for specific groups, such as men who have sex with men (MSM).","At the time of writing, shortages of supplies mean that New York City has no bookable vaccination appointments"
43,43,Stigma and Misinformation,Stereotyping and false claims about monkeypox affecting specific groups or being caused by certain vaccines.,People of any gender or sexual orientation can contract the disease.
44,44,Risk Group Focus,"Emphasis on specific groups at risk of contracting Mpox, such as gay and bisexual men.","“It’s very important to describe this because it appears to be an increase in a mode of transmission that may have been under-recognized in the past,”"
45,45,Pandemic Concerns,"Discussion on whether Mpox will become another pandemic, with experts expressing varying levels of concern.","“At the moment, we are not concerned about a global pandemic,” she said."
46,46,Immunity Gap Concerns,Focus on the potential for Mpox to exploit the lack of immunity in populations due to the suspension of mass smallpox immunization.,it would be “unfortunate” if monkeypox were able to “exploit the immunity gap” left by smallpox 40 years ago
47,47,Transmission Awareness,"Article educates readers on how Mpox spreads, particularly through close physical contact and bodily fluids.","Having close physical contact, including sex, with multiple people can put a person at higher risk."
48,48,Vulnerability concern,Concerns about the ease of introduction and spread of new pathogens.,“shows how vulnerable we are to the introduction of new pathogens”
49,49,Transmission uncertainty,"Uncertainty surrounding the transmission of monkeypox, including asymptomatic cases.",whether monkeypox can spread when someone doesn’t have any symptoms
50,50,Risk assessment debate,Debate over the potential severity and impact of the outbreak on public health.,“I don’t think it’s going to be a big epidemic. It’s just going to be a big worry”
51,51,Risk Focus,"Emphasis on risk factors for Mpox transmission, particularly among specific demographics.",gay and bisexual men account for the majority of cases.
52,52,Prevention Call to Action,Instructions or recommendations given to the public for preventing Mpox infection.,go to a sexual health clinic if they have a rash with blisters and have been in close contact with someone who might be infected...
53,53,Global Spread Worry,Concerns or warnings raised about the rapid spread of Mpox globally.,"Since May 29, the number of laboratory confirmed cases has increased 203%"
54,54,Complexity of Emergence,The factors contributing to the emergence and spread of monkeypox.,Experts have told me that the two diseases have arisen out of similar mechanisms...
55,55,Public Health Infrastructure,Limitations on public health measures and resources for addressing outbreaks.,...while some school districts are no longer allowed to require masks—to prevent Covid or any other disease.
56,56,Global Cooperation,"The need for international collaboration in addressing the outbreak, especially with African researchers and expertise.","You have to think about tackling the ongoing outbreaks in Europe and America and other regions, but you also have to think about how you allocate and share these resources..."
57,57,Viral Spread,How monkeypox is transmitted and spreading globally.,"The disease is primarily spread through direct contact with the sore of an infected person; however, infectious disease experts believe it can also be transmitted through prolonged, face-to-face contact with an infected person."
58,58,Global Context,Factors contributing to global spread of monkeypox.,"'Diseases that were locally spread are now able to make their way across countries and continents much more easily,' Leshem said."
59,59,Public Risk Perception,"Risk assessment by public health organizations, CDC cautions low risk but encourages medical help.",The CDC cautions that the risk to the general public is low but anyone who gets an 'unexplained skin rash' should seek medical help.
60,60,Vaccine Availability and Efficacy,"Vaccines available for monkeypox virus, can reduce symptoms but not prevent disease.","Vaccines can be used for the monkeypox virus, including ACAM200 and JYNNEOS vaccines that can reduce symptoms but 'not prevent the disease,' according to the CDC."
61,61,Travel Associated,Articles mentioning travel as a key factor in Mpox transmission or cases.,"The newest patient was described only as an adult who had recently traveled, although further details were not released."
62,62,Public Health Messaging,Articles emphasizing the low risk of infection and measures to prevent transmission.,County health officials insisted that “the risk of monkeypox in the general population remains very low.”
63,63,Transmission Details,"Articles providing information on how Mpox spreads, including bodily fluids and contact.","Health officials said the infection spreads through contact with bodily fluids, monkeypox sores or shared items such as bedding or clothing that were contaminated with fluids."
64,64,Case Count,Number of Mpox cases reported in the U.S.,"California has reported 15 cases, with New York having 11."
65,65,PHEIC Criteria,"WHO's definition of a public health emergency of international concern, including seriousness, suddenness, unusualness, and implications beyond national borders.",“An extraordinary event which is determined to constitute a public health risk to other States through the international spread of disease….” - WHO Director-General Tedros
66,66,Vaccine Deployment,"The use and limitations of smallpox vaccines in response to the monkeypox outbreak, including concerns about supply and access.","“While smallpox vaccines are expected to provide some protection against monkeypox, there is limited clinical data and limited supply….” - WHO Director-General Tedros"
67,67,Global Response Coordination,"The importance of international cooperation and coordination in responding to the outbreak, including sharing information, resources, and expertise.",“We believe that it needs also some coordinated response because of the geographic spread….” - WHO Director-General Tedros
68,68,Vulnerable Populations,"Identification of groups at higher risk of contracting or spreading monkeypox, such as LGBTQ+ individuals.","The city health department has now expanded eligibility to “all gay, bisexual, and other men who have sex with men (cisgender or transgender) ages 18 and older who have had multiple or anonymous sex partners in the last 14 days.”"
69,69,Risk of Transmission,"Methods by which monkeypox is spread, including direct contact with infected individuals or contaminated items.","It can also be spread through close contact with an animal infected with the virus, or items that could be contaminated with body fluids carrying the monkeypox virus, like bedding or clothing."
70,70,Vulnerability frame,Emphasis on specific groups being disproportionately affected by the outbreak.,"Like most outbreaks, this latest bout of meningococcal disease is predominantly affecting vulnerable populations."
71,71,Homophobia by omission,Implication that diseases are targeting or have a disproportionate impact on the LGBTQ+ community.,At this point I’m convinced that diseases are homophobic. Just consider all the havoc they’ve caused during Pride month alone.
72,72,Risk mitigation advice,Providing guidance on how to minimize risk and prevent infection.,"If you are a queer man, do not panic; this is not even close to being a pandemic yet. We can still enjoy what we have left of Pride month, but it is important to make sure that you are up to date with your shots."
73,73,Global Health Imperative,"The interconnectedness of global health, highlighting risks and challenges.",Contending with multiple infectious diseases at the same time is normal in most parts of the world.
74,74,Global Connectivity Risks,The increased risks of disease transmission due to global connectivity.,The underlying reasons are: more contact between animals and humans (when spillover events happen); ...; and connectivity (people travelling all over the globe)
75,75,Public Health Response,Efforts made by health officials to contain and manage the outbreak.,Contact tracing efforts have already begun.
76,76,Demographic Distribution,Discussion of who is most affected by the outbreak and potential risk factors.,"an overwhelming percentage of cases, both statewide and in the U.S. overall, have occurred among persons self-identifying as men who have sex with men"
77,77,Virus Transmission,Methods through which parechoviruses are spread to individuals,Infected people can transmit the virus regardless of whether they’re asymptomatic or presenting symptoms by coming in contact with feces and through respiratory routes.
78,78,Symptom Severity,Range of symptoms experienced by individuals infected with parechoviruses,"The virus can range from asymptomatic to severe illness, experts said. Symptoms most commonly seen in children 6 months to 5 years old include respiratory tract infection, fever and a rash."
79,79,Prevention Measures,Strategies recommended by experts for preventing parechovirus transmission,"One of the most important ways to prevent parechovirus transmission is to practice good hand hygiene, experts said. Limiting the number of people outside the household interacting with the baby is also recommended."
80,80,Stigma concern,Concerns about stigmatizing groups due to health disparities.,Public officials are scrambling to balance concerns about stigmatization with the fact that the disease is largely affecting gay and bisexual men.
81,81,Risk downplaying,Downplaying or obscuring risks associated with specific groups.,The most important time to be pointing out disparities is when the relevant population is both unaware of them and can take personal action to prevent harm.
82,82,Risk framing,Framing risks in a way that masks or minimizes specific groups' vulnerability.,The idea that rich women won’t be impacted by the fall of Roe v. Wade is both untrue and divides the coalition of people needed to combat further restrictions on abortion.
83,83,Delayed Testing,Delays in testing and diagnosis due to strict guidelines and lack of resources.,"Andy was refused testing for three tries, as the C.D.C. guidelines required visible lesions on the skin."
84,84,Stigma and Stereotyping,The article highlights how monkeypox is being stigmatized and associated with specific groups.,"Andy lamented, ‘First it was, “Oh, well, it’s just Africans.” Then, “Oh, well, it’s just the gays.”’"
85,85,Bureaucratic Barriers to Treatment,The article describes how bureaucratic hurdles are preventing patients from accessing treatment.,"Andy had to tap personal connections through his employer to find a physician to sign on for the experimental trial, and even then, a bureaucratic logjam nearly prevented him from getting medicine."
86,86,Viral Evolution,The virus's ability to mutate and evade immunity.,Ease of transmission stems from the ability of the virus to evade the neutralizing antibodies circulating in the blood in response to previous Covid infection or vaccines.
87,87,Prevention Strategies,Measures individuals can take to prevent Mpox spread.,"So, to protect yourself and others, get vaccinated and boosted, wear masks, and maintain social distancing when appropriate."
88,88,Government Inaction,Failure of federal government to respond effectively to Mpox outbreak.,The feds botch another epidemic.
89,89,Vaccine Shortage,Insufficient distribution and availability of Mpox vaccines.,Red tape from the Food and Drug Administration (FDA) and the CDC left more than a million monkeypox vaccine doses stuck in storage
90,90,Risk Prioritization,Concerns about the prioritization of vaccinations for high-risk groups.,Los Angeles is giving out as many first doses as it can and will worry about getting those second doses later
91,91,Homophobia allegations,"Criticism that WHO's focus on queer men is homophobic, reminiscent of HIV/AIDS crisis.","The WHO’s tweet got ratioed, with many people accusing the organization of homophobia."
92,92,Risk amplification through sex,Discussion of how intimate physical contact during sex is a key transmission method for Mpox.,"According to the latest CDC update, of the nearly 3600 cases in the US as of July 25, all but 5 were attributed to sex between men."
93,93,Government response criticism,"Concerns about government handling of Mpox outbreak, including vaccine distribution and messaging.","The US government opted to wait and watch the spread of the outbreak rather than tackling it head on, which led them to order upfront only a fifth of the 372,000 available vaccine doses."
94,94,Risk-Based Targeting,Vaccine prioritization based on risk factors and exposure history.,You qualify if you've been in close contact with someone known to have monkeypox.
